1|OnHold|05.06.2024. 00:00:00|24.08.2024. 00:00:00|4|3|18|Spanish|1|xswa|02.06.2024. 15:46:12|4
2|OnHold|04.06.2024. 00:00:00|15.06.2024. 00:00:00|5|3|19|French|1|dews|02.06.2024. 15:48:27|4
3|OnHold|04.06.2024. 00:00:00|20.06.2024. 00:00:00|5|3|20|Spanish|1|dews|02.06.2024. 15:50:04|4
4|OnHold|04.06.2024. 00:00:00|28.06.2024. 00:00:00|5|3|21|German|1|dwqa|02.06.2024. 15:50:21|4
5|OnHold|12.06.2024. 00:00:00|29.06.2024. 00:00:00|5|3|22|Spanish|1|wda|02.06.2024. 15:52:01|4
6|OnHold|03.06.2024. 00:00:00|22.06.2024. 00:00:00|5|3|23|German|1|das|02.06.2024. 15:53:19|4
7|Accepted|11.06.2024. 00:00:00|21.06.2024. 00:00:00|5|3|24|Italian|1|Join us for a tour that offers a perfect blend of luxury, adventure, and cultural discovery in the vibrant city of Dubai. Book your spot today and get ready to explore one of the most exciting destinations in the world!|02.06.2024. 16:15:06|4
8|OnHold|06.06.2024. 00:00:00|29.06.2024. 00:00:00|3|3|20|French|1|dWAS|03.06.2024. 19:36:27|4
9|OnHold|05.06.2024. 00:00:00|07.06.2024. 00:00:00|1|3|21,22|Serbian|2|aaaaa|03.06.2024. 21:09:47|4
10|OnHold|01.08.2024. 00:00:00|06.08.2024. 00:00:00|3|3|23|Spanish|1|222|03.06.2024. 21:10:29|4
